lang,word_ppl,t_stat,p_val,acc0_mean,acc1_mean,acc0_p25,acc1_p25,acc0_p50,acc1_p50,acc0_p75,acc1_p75,word_ppl_trend,byte_ppl,t_stat,p_val,acc0_mean,acc1_mean,acc0_p25,acc1_p25,acc0_p50,acc1_p50,acc0_p75,acc1_p75,byte_ppl_trend,log_word_ppl,t_stat,p_val,acc0_mean,acc1_mean,acc0_p25,acc1_p25,acc0_p50,acc1_p50,acc0_p75,acc1_p75,log_word_ppl_trend,trained
Arabic,False,-1.4034096729266516,0.1605032560577723,53174.39121889607,58433.08913248694,254.892349494864,212.03069840884567,845.0920978705188,718.6124162687053,3804.3258712757697,3093.022013852872,False,True,4.611162985465045,4.017850151894965e-06,2.1304763515506604,2.100432898879486,1.7351947536578982,1.700133335590253,1.9593470070810404,1.9290606608598213,2.2982229839478565,2.249103292441001,True,True,6.189476205728231,6.100848042743498e-10,7.1705752641156115,7.022266702007898,5.540841292323105,5.356731068004262,6.739445612980769,6.577322152944712,8.243894068400065,8.036903889973958,True,trained
Hungarian,False,0.1298914285456565,0.8966530493784545,1136531.818463143,1126448.515686954,6286.813333203108,5932.608351612549,27975.52081481869,27137.02131549664,144600.4150470018,146465.32254053518,True,False,0.48891525631728655,0.6249046636246789,4.321545376565188,4.310896394124847,3.1122372425590616,3.070162892168699,3.831700800050294,3.807199389977722,4.843267156434342,4.886112221110985,True,False,1.0586176459664258,0.2897810287010883,10.457508776552373,10.428417896287165,8.74620959633275,8.68821925208682,10.239085148542355,10.208654174804687,11.88172945894824,11.894543965657551,True,untrained
Basque,True,-3.5102456063816936,0.00044823031626797593,7589896.151674411,9558996.28784087,89048.50623445268,88452.13413006684,325841.6940379896,327160.3073857235,1461781.3857439868,1533723.7737653644,False,True,-3.5809461513109904,0.00034279491691217075,5.876429415942464,5.962825930066033,4.568125998407557,4.57433572368237,5.386785318347476,5.41231396789101,6.576660193973193,6.707499323273878,False,False,-1.3633357792540213,0.17278508602808323,12.9215791355174,12.956302737678994,11.396936507452102,11.390216827392578,12.694166936794248,12.69820556640625,14.195166375549924,14.243209175441576,False,untrained
Armenian,False,0.12878175215070972,0.8975311026656231,527728292.89634514,523464673.20349956,641442.2585214166,618357.6077489301,7365647.433037458,7147796.355150598,78242999.53496891,75262944.17392008,True,True,-3.93417523083489,8.364776083741806e-05,3.61096829823307,3.6595235285011647,2.848058719350018,2.8667007944421465,3.482665046969259,3.510083911040919,4.1493007021694766,4.217503730363898,False,False,0.735266138870217,0.46218247091314446,15.8768513238795,15.847567490317774,13.371474439447576,13.334822209676108,15.812337409125433,15.78231466384161,18.17532990233311,18.136498382689254,True,untrained
Vietnamese,False,-0.8978056271576155,0.36929514218214843,338.87850622281815,349.27878750308514,35.50023755044574,31.687155782429933,73.10843721748108,65.77254323564836,195.6945197337473,172.19239920531453,False,True,5.663812740604993,1.4916398275548206e-08,2.190738924043694,2.1578735388756933,1.8127722154315429,1.7787727050154931,2.0453561135035114,2.011501450206508,2.405884824035166,2.3565882658186825,True,True,6.326425540191556,2.5382668365233383e-10,4.548359614835343,4.4572365084003165,3.5695393880208335,3.4559114180987156,4.291943780307112,4.186202474969637,5.276554870605469,5.148612438104092,True,trained
Malayalam,False,-1.7362389366789412,0.0825303022263911,9542745.845326133,10554045.921712853,122958.52563414571,119776.62024465494,486927.71976691,478390.09496017575,2280419.4106452377,2420529.314086321,False,True,-6.307436070230399,2.8704425476760325e-10,1.755566994048076,1.7715961043691597,1.6157104875908574,1.6196501325997863,1.7153195393136489,1.72731698748535,1.847463868861836,1.8707353883948,False,False,0.14812627424440694,0.8822439586525765,13.286779160471628,13.282787114847018,11.71960238752694,11.6933837890625,13.095870971679688,13.078181776889535,14.639869936050907,14.69949679904514,True,untrained
Indonesian,False,-0.9944163751819922,0.3200267232693928,5844.460350187767,6159.755359374538,119.98185353324436,104.62184581318553,333.0232514892113,294.3609282199585,1212.5632090359093,997.9781784672516,False,True,6.235701804247241,4.546240081628864e-10,2.525575939847592,2.4729424729908387,1.985074223376533,1.939260180347207,2.296036634248405,2.2528355166082603,2.7681729080824327,2.6888894992114745,True,True,6.821304726291382,9.160720703243622e-12,6.161826934433153,6.028715147575433,4.787340498427879,4.650352338358793,5.808212311287236,5.684806661402925,7.1004917496129085,6.905731314199942,True,trained
Serbian,True,-2.3178991694527133,0.02046016695339631,568270.8402994857,672974.629069056,1633.7887368759261,1307.2897586645263,6606.355208494945,5454.503275667135,35670.20419333403,30854.06149252077,False,True,3.3643827490103733,0.0007679208058962593,4.466747277586778,4.382446804752801,3.0259749589166662,2.91655701239239,3.784317415014637,3.666622997598816,4.977496370774502,4.88150090965102,True,True,5.383318633110917,7.35642982636547e-08,9.164680632757957,9.019556437921935,7.398656973317892,7.17571126361226,8.795787374994273,8.60419683456421,10.482070990488038,10.337023578990589,True,untrained
English,False,-0.2688879749760121,0.78801728589046,487.79363867277164,493.6518625825725,34.18932307292467,30.41548339193045,73.49564963791431,64.77505988021386,196.56501419792014,153.4620704870489,False,True,9.907600957950288,4.103547237868486e-23,2.427814245312917,2.3439693774776162,1.8921483954311593,1.8427402191979554,2.185984868248213,2.120584530176316,2.616852501187984,2.482213748833998,True,True,9.60084435710726,8.373247408026042e-22,4.582273061239576,4.4411672306689045,3.5319134037669113,3.414951800332833,4.297226215765728,4.170920646823182,5.280993201515892,5.033453437852563,True,trained
Spanish,False,0.581325147712275,0.5610248647601532,920.1279677722493,896.9893296232835,51.38801376318766,43.56469351853542,122.36008993786237,103.32381870788542,351.13771956860273,285.675710667328,True,True,9.751277337696505,1.9382575282066318e-22,2.436097395632683,2.3585993811436716,1.9154192606429061,1.8570127350367853,2.220237637646988,2.1558914326788625,2.6590811597042627,2.548593231351314,True,True,9.684230521107267,3.737524310910091e-22,5.077123500323959,4.921767154241082,3.9394049499974106,3.7742470406197213,4.806968249313744,4.6378679275512695,5.861178484972234,5.654857288707387,True,trained
