lang,perplexity_metric,acc_metric,mean_slope,corr,trained
Swedish,byte_perplexity,acc_norm,-0.036438196734496414,-0.6570802657374232,untrained
Swedish,log_word_ppl,acc_norm,-0.017329720427065366,-0.8328003609633673,untrained
Romanian,byte_perplexity,acc,-0.034223287915675304,-0.5801699192339436,trained
Romanian,log_word_ppl,acc,0.0002643332421841478,-0.6528726530354713,trained
Romanian,byte_perplexity,acc_norm,-0.07415587111745212,-0.8860912277804661,trained
Romanian,log_word_ppl,acc_norm,-0.024902014401603022,-0.9156123717297165,trained
Tamil,byte_perplexity,acc,0.05182791065144176,0.7298063121802516,untrained
Tamil,log_word_ppl,acc,0.013591606133978952,0.2961501804052328,untrained
Tamil,byte_perplexity,acc_norm,0.07183796595561275,0.5366255303770177,untrained
Tamil,log_word_ppl,acc_norm,-0.0005165456012911148,-0.027189423060276982,untrained
Kannada,byte_perplexity,acc,0.03224720047149973,0.8379406312440537,untrained
Kannada,log_word_ppl,acc,0.004816441385332581,0.028827745548120787,untrained
Kannada,byte_perplexity,acc_norm,0.005061135902257856,0.46669289469222824,untrained
Kannada,log_word_ppl,acc_norm,-0.0005323591309515434,-0.2508963316042721,untrained
German,byte_perplexity,acc,-0.048788620834032445,-0.6302812775544733,trained
German,log_word_ppl,acc,-0.004417785491178744,-0.5646036389520998,trained
German,byte_perplexity,acc_norm,-0.05566712912698657,-0.8764488938691287,trained
German,log_word_ppl,acc_norm,-0.015251618590464132,-0.8515757838613828,trained
Hindi,byte_perplexity,acc,0.04005647160739733,0.7057734407432089,trained
Hindi,log_word_ppl,acc,-0.008940543959519908,-0.10094371412164486,trained
Hindi,byte_perplexity,acc_norm,-0.09926789317932748,-0.7409974114780354,trained
Hindi,log_word_ppl,acc_norm,-0.013155743687052938,-0.6986192720796031,trained
Nepali,byte_perplexity,acc,0.004653327128897433,0.43930060263133563,untrained
Nepali,log_word_ppl,acc,0.0045605083550972715,0.3847386187889214,untrained
Nepali,byte_perplexity,acc_norm,-0.013190631301380505,-0.377555948780275,untrained
Nepali,log_word_ppl,acc_norm,-0.011508211811779273,-0.2550587061867516,untrained
Ukrainian,byte_perplexity,acc,0.021212041984839204,-0.21876890612009844,trained
Ukrainian,log_word_ppl,acc,0.004271535978225748,-0.5236410570584541,trained
Ukrainian,byte_perplexity,acc_norm,-0.10280578963562449,-0.8575939926492921,trained
Ukrainian,log_word_ppl,acc_norm,-0.03698755935217126,-0.8584308817922961,trained
Danish,byte_perplexity,acc,-0.017536439155772424,-0.30622741230436434,untrained
Danish,log_word_ppl,acc,0.01179539354765453,-0.3688416853886854,untrained
Danish,byte_perplexity,acc_norm,-0.04797239194711816,-0.7381928929843906,untrained
Danish,log_word_ppl,acc_norm,-0.01935019934747517,-0.7819304698022373,untrained
Slovak,byte_perplexity,acc,-0.023127672121480265,-0.3402267307403856,untrained
Slovak,log_word_ppl,acc,-0.01415675493047445,-0.5974465676475477,untrained
Slovak,byte_perplexity,acc_norm,-0.035829108971523804,-0.8585078296589187,untrained
Slovak,log_word_ppl,acc_norm,-0.023317044836549946,-0.8096555099493582,untrained
